"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1961",0.0365579919425516,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1962",5.46488426315058,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1963",6.14292842490441,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1964",6.20135805693389,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1965",5.01911987114068,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1966",2.93053587945354,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1967",7.1914029619855,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1968",5.33764872859442,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1969",6.21359223300965,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1970",6.95457121381335,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1971",3.88811418259372,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1972",2.27675761035412,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1973",4.35304230982696,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1974",1.62215552938497,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1975",2.48283325135266,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1976",3.83800917313187,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1977",1.48596679362497,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1978",2.01750055110519,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1979",4.58148725559004,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.7152141469129,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1981",4.18169092991665,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1982",-0.356959920597561,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1983",-0.194092664834617,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1984",6.58246046416104,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1985",5.02185904229693,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1986",1.85862095657486,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1987",5.29074840271321,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.43158351989845,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1989",4.31072106444004,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1990",1.40488729000312,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1991",-1.33073268946431,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1992",2.98063433824185,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1993",4.09362087238172,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1994",4.73867667566207,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1995",3.08026693753618,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1996",4.04928308955979,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1997",4.16277999323818,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1998",4.99107409963768,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1999",4.20544212872864,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.30932256020788,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2001",2.72715084572037,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2002",3.94023798377292,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2003",2.92140565762613,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.9700024321076,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2005",3.06008893653166,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2006",2.75686737713051,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2007",4.42928168304276,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2008",2.54501470370796,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2009",1.88546996565501,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2010",2.44804360929842,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2011",2.73239944642131,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2012",3.929981218512,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2013",2.09955202129501,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2014",2.54870637487532,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2015",2.29731778408972,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2016",2.72588683736069,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2017",2.44461441726386,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2018",2.88250611117016,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2019",1.93859330603711,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2020",-2.45361843355337,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2021",3.80878090027406,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2022",4.14297323044639,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2023",3.0433754669708,
"AUT","REALGDPFORECAST","TOT","AGRWTH","A","1971",5.11312929812601,
"AUT","REALGDPFORECAST","TOT","AGRWTH","A","1972",6.20786095989681,
"AUT","REALGDPFORECAST","TOT","AGRWTH","A","1973",4.88730054233666,
"AUT","REALGDPFORECAST","TOT","AGRWTH","A","1974",3.94375037360257,
"AUT","REALGDPFORECAST","TOT","AGRWTH","A","1975",-0.362303213284584,
"AUT","REALGDPFORECAST","TOT","AGRWTH","A","1976",4.57700243856695,
"AUT","REALGDPFORECAST","TOT","AGRWTH","A","1977",5.07998080296881,
