"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPIFORECAST","TOT","AGRWTH","A","1961",2.28758169934642,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1962",-0.319488817891379,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1963",0.641025641025672,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1964",2.86624203821649,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1965",3.40557275541799,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1966",3.29341317365271,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1967",3.47826086956516,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1968",2.52100840336135,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1969",3.27868852459018,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1970",3.43915343915346,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1971",6.13810741688002,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1972",6.02409638554168,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1973",9.09090909090939,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1974",15.4166666666663,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1975",15.1624548736464,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1976",13.322884012539,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1977",12.3098201936378,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1978",8.00492610837437,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1979",9.1220068415053,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1980",10.1358411703238,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1981",9.48766603415562,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1982",11.3518197573657,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1983",10.0389105058367,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1984",3.96039603960399,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1985",6.73469387755101,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1986",9.09043499221445,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1987",8.48757548130945,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1988",7.21205597416579,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1989",7.58032128514056,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1990",7.2328511432571,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1991",3.30722367275891,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1992",0.968828980623423,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1993",1.75219023779725,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1994",1.9680196801968,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1995",4.583835946924,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1996",2.65282583621683,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1997",0.224719101123623,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1998",0.859491778774273,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1999",1.40792886254169,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2000",4.45743514797223,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2001",4.40713536201471,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2002",3.04857621440536,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2003",2.73081924577376,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2004",2.34177215189872,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2005",2.65924551638839,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2006",3.55421686746985,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2007",2.3560209424084,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2008",4.34782608695651,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2009",1.77015250544664,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2010",2.86325929890287,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2011",3.35587929240372,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2012",1.68638308582935,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2013",2.47524752475247,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2014",2.48792270531401,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2015",1.48479849163329,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2016",1.27728750580586,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2017",1.99495528548495,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2018",1.93345323741006,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2019",1.56594618438473,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2020",0.890336590662241,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2021",2.65404742904912,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2022",2.65850730236644,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2023",2.13394283130826,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1993",1.86544949394719,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1994",0.136372491720266,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1995",2.18871595330736,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1996",1.58019990480728,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1997",1.61184518789241,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1998",0.986811767960934,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1999",1.74429223744289,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2000",2.73763575980611,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2001",2.50742617508301,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2002",2.27563283047813,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2003",2.74166666666664,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2004",1.84118744423716,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2005",2.23000955718387,
